Lemma	Abs. freq. in full text	Rel. Freq. in full text
matrimonio	111	0,00033897062865309563
positivo	111	0,00033897062865309563
política	110	0,00033591683920577043
desear	110	0,00033591683920577043
10	110	0,00033591683920577043
castigar	110	0,00033591683920577043
juez	110	0,00033591683920577043
servir	110	0,00033591683920577043
huir	110	0,00033591683920577043
estado	109	0,0003328630497584453
tulio	109	0,0003328630497584453
desta_de+desta_este	108	0,00032980926031112007
informar	108	0,00032980926031112007
esperanc	107	0,00032675547086379487
denostar	107	0,00032675547086379487
6	106	0,0003237016814164697
fuerc	105	0,0003206478919691445
acometer	105	0,0003206478919691445
ero	104	0,0003175941025218193
vender	104	0,0003175941025218193
recibir	103	0,00031454031307449415
deste_de+deste_este	103	0,00031454031307449415
pertenecer	102	0,00031148652362716895
cielo	102	0,00031148652362716895
apetito	102	0,00031148652362716895
levantar	102	0,00031148652362716895
entonces	102	0,00031148652362716895
madre	101	0,00030843273417984374
miembro	101	0,00030843273417984374
epístola	100	0,0003053789447325186
alcalde	100	0,0003053789447325186
consentir	100	0,0003053789447325186
vestidura	99	0,0003023251552851934
acabar	99	0,0003023251552851934
maestro	99	0,0003023251552851934
evangelio	99	0,0003023251552851934
tornar	99	0,0003023251552851934
linaje	99	0,0003023251552851934
escoger	98	0,00029927136583786823
quinto	98	0,00029927136583786823
verdadero	97	0,00029621757639054303
bestia	97	0,00029621757639054303
della_de+della_el	96	0,0002931637869432178
vestir	96	0,0002931637869432178
prueba	96	0,0002931637869432178
menos	95	0,00029010999749589267
7	95	0,00029010999749589267
verdad	95	0,00029010999749589267
sentencia	94	0,00028705620804856747
cristiano	94	0,00028705620804856747
amistanc	94	0,00028705620804856747
destruir	94	0,00028705620804856747
fuera	94	0,00028705620804856747
fincar	94	0,00028705620804856747
castigo	93	0,00028400241860124226
iglesia	93	0,00028400241860124226
adelante	92	0,0002809486291539171
guisa	91	0,0002778948397065919
sacar	90	0,0002748410502592667
romano	89	0,00027178726081194155
ganar	89	0,00027178726081194155
decir+le	89	0,00027178726081194155
pena	89	0,00027178726081194155
alto	88	0,00026873347136461634
